ExpectationCondition,Lateness,CNVSlope
Before,1,0.000963052889953057
Before,1,2.38604843616486e-05
Before,1,-0.00415741803590208
Before,1,-0.000197109223032991
Before,1,0.00287546450272202
Before,1,0.00488338221718247
Before,1,0.00423218317640324
Before,1,0.00412964914964202
Before,1,0.00218865663434068
Before,1,-0.00709758171190818
Before,1,-0.00538834642308454
Before,1,-0.00967341614887118
Before,1,0.00214654797067245
Before,1,0.00327179833160092
Before,1,0.00496369000757113
Before,1,0.00294436374679208
Before,1,-0.00259239226579666
Before,1,0.00409760710317641
Before,1,-0.000861046835780144
Before,1,0.00108007217446963
Before,1,0.0042866690394779
Before,1,-0.00814741508414348
Before,1,-0.000680009388209631
Before,1,0.00497726708029707
Before,1,-0.00444425611446301
Before,1,-0.00384284229949117
Before,1,-0.00349342543631792
Before,1,0.00297289217511813
Before,1,-0.00024046622759973
Before,1,-0.000994336480895678
Before,1,0.000401048921048641
Before,1,-0.00501856673508883
Before,1,0.00145316923347612
Before,1,0.00116121210642935
Before,1,0.00108213334654768
Before,1,-0.00346087136616309
Before,1,0.000152094076232364
Before,1,0.00293502413357298
Before,1,-0.00626180755595366
Before,1,0.000135685472438733
Before,1,-0.00716888423388203
Before,1,-0.00416318117640913
Before,1,0.00151670320580403
Before,1,-0.0024150765966624
Before,1,0.00208845858772596
Before,1,-0.00418555722959961
Before,1,-0.00140945967480851
Before,1,0.00195982291673621
Before,1,-0.0167156706253688
Before,1,-0.00541630197161188
Before,1,-4.50449685255686e-06
Before,1,0.0029090476843218
Before,1,0.000427857662240664
Before,1,-0.00160379560353855
Before,1,-0.00508851806322734
Before,1,-0.000540356617420912
Before,1,-0.000702664721757174
Before,1,-0.00593542779097334
Before,1,0.00214582984335721
Before,1,0.000400129172097271
Before,1,-0.00358051292520637
Before,1,-0.0102582902957996
Before,1,-0.0027174058680733
Before,1,0.00563228689134121
Before,1,-0.00560952501837164
Before,1,-0.00326281134039164
Before,1,-0.00601446504394213
Before,1,0.00182159384712577
Before,1,-0.00668239360675216
Before,1,-0.00627439826106032
Before,2,0.00183213090834518
Before,2,0.00043008360080421
Before,2,0.00129088658529023
Before,2,-0.0044687285553664
Before,2,0.0010024137639751
Before,2,-0.00415355278528295
Before,2,-0.005438724377503
Before,2,-0.00648583890870214
Before,2,-0.00413143169134855
Before,2,-0.00494735975128909
Before,2,-0.0070321064752837
Before,2,-0.00693028699606657
Before,2,-0.000102955440524966
Before,2,0.00702590541914105
Before,2,0.00454502793339392
Before,2,-0.000456581590697169
Before,2,-0.00971951087315877
Before,2,0.000202764136095842
Before,2,-0.00314725128312906
Before,2,-0.000727347719172637
